ndc_code,drug_name,generic_name,strength,dosage_form,route,manufacturer,drug_class,therapeutic_category,is_generic,is_brand,is_specialty,is_controlled,dea_schedule,awp_price,wac_price,mac_price,package_size,package_unit,fda_approval_date,is_active
21112-0001-46,Tamolol,tamolol,50mg,TABLET,ORAL,LUPIN,ANTIDEPRESSANT,CNS,true,false,false,false,,3.02,2.57,2.11,90,EA,2014-12-14,true
86997-0002-69,Doxpril,doxpril,25mg,TABLET,ORAL,SANDOZ,GLP1_AGONIST,DIABETES,true,false,false,false,,12.22,10.39,8.55,500,EA,2008-09-01,true
21959-0003-68,Azstatin,azstatin,250mg/ml,INJECTION,ORAL,AUROBINDO,MACROLIDE,ANTIBIOTICS,true,false,false,false,,15.47,13.15,10.83,10,ML,1998-04-10,true
17617-0004-01,Clopril,clopril,25mg,CAPSULE,ORAL,ACTAVIS,MACROLIDE,ANTIBIOTICS,true,false,false,false,,35.72,30.36,25.00,90,EA,2005-03-19,true
43107-0005-58,Gabfloxacin,gabfloxacin,50mg,CAPSULE,ORAL,CIPLA,HORMONE_THERAPY,ONCOLOGY,true,false,false,false,,26.62,22.63,18.63,500,EA,2023-10-15,true
14900-0006-51,Napvir,napvir,20mg,TABLET,ORAL,CIPLA,NSAID,PAIN_MANAGEMENT,true,false,false,false,,5.53,4.70,3.87,100,EA,1989-09-14,true
09401-0007-59,Risolol,risolol,100mg,CAPSULE,TOPICAL,ZYDUS,ANTI_INFLAMMATORY_EYE,OPHTHALMOLOGY,true,false,false,false,,3.35,2.85,2.34,500,EA,1994-11-11,true
06338-0008-80,Liposr,clocycline,10mg/5ml,SOLUTION,ORAL,ABBVIE,ANTIPSYCHOTIC,CNS,false,true,false,false,,134.39,110.20,,240,ML,2002-07-26,true
06333-0009-15,Varzepam,varzepam,5mg,TABLET,ORAL,MYLAN,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,30.05,25.54,21.04,90,EA,1991-02-08,true
86095-0010-61,Risprazole,risprazole,500mg,TABLET,ORAL,SANDOZ,OPIOID,PAIN_MANAGEMENT,true,false,false,false,,33.49,28.47,23.44,60,EA,2024-04-23,true
68647-0011-88,Bensartan,bensartan,200mg,SUPPOSITORY,ORAL,ZYDUS,HORMONE_THERAPY,ONCOLOGY,true,false,false,false,,22.98,19.53,16.09,50,ML,2016-03-16,true
19010-0012-77,Ketocr,ceftriptan,50mg/ml,INJECTION,TOPICAL,ABBVIE,ACE_INHIBITOR,CARDIOVASCULAR,false,true,false,false,,67.39,55.26,,5,ML,1993-01-11,true
21189-0013-20,Azzepam,azzepam,75mg,CAPSULE,ORAL,SANDOZ,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,22.46,19.09,15.72,100,EA,1983-06-04,true
11203-0014-91,Prosartan,prosartan,150mg,CAPSULE,ORAL,SUN_PHARMA,FLUOROQUINOLONE,ANTIBIOTICS,true,false,false,false,,7.68,6.53,5.38,60,EA,1999-01-09,true
61964-0015-76,Azprazole,azprazole,0.5%,CREAM,ORAL,LUPIN,ANTICONVULSANT,CNS,true,false,false,false,,23.65,20.10,16.55,60,ML,1985-04-06,true
79868-0016-20,Flexmax,venzepam,100mg,CAPSULE,ORAL,ELI_LILLY,BETA_BLOCKER,CARDIOVASCULAR,false,true,false,false,,108.53,88.99,,60,EA,2021-05-28,true
29681-0017-57,Gabpril,gabpril,40mg,TABLET,ORAL,ACTAVIS,CEPHALOSPORIN,ANTIBIOTICS,true,false,false,false,,44.77,38.05,31.34,90,EA,2000-09-28,true
20130-0018-61,Levzepam,levzepam,100mg,CAPSULE,ORAL,CIPLA,ANTICOAGULANT,CARDIOVASCULAR,true,false,false,false,,20.64,17.54,14.45,100,EA,2020-10-11,true
03068-0019-25,Bentriptan,bentriptan,250mg/ml,INJECTION,ORAL,SANDOZ,PENICILLIN,ANTIBIOTICS,true,false,false,false,,43.77,37.20,30.64,1,ML,2020-02-15,true
15794-0020-98,Entriptan,entriptan,25mg/ml,INJECTION,ORAL,ZYDUS,FLUOROQUINOLONE,ANTIBIOTICS,true,false,false,false,,14.25,12.11,9.97,1,ML,2022-07-16,true
09485-0021-70,Hydstatin,hydstatin,250mg,TABLET,RECTAL,SANDOZ,MACROLIDE,ANTIBIOTICS,true,false,false,false,,28.88,24.55,20.22,500,EA,2015-09-12,true
39265-0022-83,Ensartan,ensartan,5%,CREAM,INHALATION,ZYDUS,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,27.89,23.71,19.52,45,ML,2020-07-20,true
68265-0023-39,Partriptan,partriptan,25mg,CAPSULE,TOPICAL,CIPLA,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,34.58,29.39,24.21,90,EA,2011-05-26,true
30620-0024-07,Venfloxacin,venfloxacin,10mg/5ml,SOLUTION,ORAL,TEVA,DIURETIC,CARDIOVASCULAR,true,false,false,false,,38.28,32.54,26.80,480,ML,2004-11-02,true
98223-0025-47,Neuroplus,hyddipine,10mg,CAPSULE,TOPICAL,ABBVIE,PSORIASIS_TREATMENT,DERMATOLOGY,false,true,false,false,,393.09,322.33,,60,EA,2000-07-25,true
46495-0026-41,Clovir,clovir,10mg/5ml,SOLUTION,TOPICAL,CIPLA,OVERACTIVE_BLADDER,UROLOGY,true,false,false,false,,47.69,40.54,33.38,240,ML,1986-11-09,true
84962-0027-91,Zoldipine,zoldipine,25mg,TABLET,ORAL,MYLAN,DIURETIC,CARDIOVASCULAR,true,false,false,false,,43.69,37.14,30.58,500,EA,2022-09-22,true
90901-0028-42,Varzepam,varzepam,50mg/ml,INJECTION,ORAL,TEVA,TOPICAL_STEROID,DERMATOLOGY,true,false,false,false,,6.85,5.82,4.79,10,ML,2014-03-07,true
05737-0029-76,Metstatin,metstatin,50mg,TABLET,ORAL,LUPIN,NSAID,PAIN_MANAGEMENT,true,false,false,false,,47.56,40.43,33.29,100,EA,2002-02-23,true
85828-0030-34,Servir,servir,100mg/5ml,SOLUTION,INHALATION,SANDOZ,STIMULANT,CNS,true,false,false,false,,21.56,18.33,15.09,240,ML,2018-03-25,true
10422-0031-19,Bendipine,bendipine,20mg,CAPSULE,INHALATION,TEVA,ANTICOAGULANT,CARDIOVASCULAR,true,false,false,false,,48.98,41.63,34.29,60,EA,1984-03-11,true
