formulary_code,formulary_name,plan_code,market_segment,carrier,pbm,formulary_type,tier_count,coverage_level,effective_date,termination_date,region,drug_count,prior_auth_pct,step_therapy_pct,quantity_limit_pct,is_active
FORM-MEDI-WELL-2024-0001,WELLCARE MEDICARE_PART_D Enhanced 5-Tier Formulary 2024,EXCH_SILV_001,MEDICARE_PART_D,WELLCARE,CVS_CAREMARK,ENHANCED,5,LIMITED,2024-01-01,2024-12-31,NATIONAL,2577,8,5,10,true
FORM-MEDI-WELL-2024-0002,WELLCARE MEDICARE_PART_D Standard 3-Tier Formulary 2024,VA_STANDARD_001,MEDICARE_PART_D,WELLCARE,CVS_CAREMARK,STANDARD,3,LIMITED,2024-01-01,2024-12-31,NATIONAL,2730,15,13,13,true
FORM-MEDI-CVS_-2024-0003,CVS_HEALTH MEDICARE_PART_D Specialty 4-Tier Formulary 2024,FEHB_PREM_001,MEDICARE_PART_D,CVS_HEALTH,ELIXIR,SPECIALTY,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,1476,21,7,12,true
FORM-MEDI-CVS_-2024-0004,CVS_HEALTH MEDICARE_PART_D Specialty 4-Tier Formulary 2024,MCAID_EXP_001,MEDICARE_PART_D,CVS_HEALTH,HUMANA_PHARMACY,SPECIALTY,4,STANDARD,2024-01-01,2024-12-31,NATIONAL,534,20,6,16,true
FORM-MEDI-BCBS-2024-0005,BCBS MEDICARE_PART_D Standard 5-Tier Formulary 2024,MCAID_STD_001,MEDICARE_PART_D,BCBS,EXPRESS_SCRIPTS,STANDARD,5,STANDARD,2024-01-01,2024-12-31,NATIONAL,2686,20,13,22,true
FORM-MEDI-UNIT-2024-0006,UNITED_HEALTHCARE MEDICARE_PART_D Standard 3-Tier Formulary 2024,EXCH_SILV_001,MEDICARE_PART_D,UNITED_HEALTHCARE,NAVITUS,STANDARD,3,STANDARD,2024-01-01,2024-12-31,NATIONAL,2143,20,8,12,true
FORM-MEDI-ANTH-2024-0007,ANTHEM MEDICARE_PART_D Mail Order 4-Tier Formulary 2024,EMP_TRAD_001,MEDICARE_PART_D,ANTHEM,PRIME_THERAPEUTICS,MAIL_ORDER,4,LIMITED,2024-01-01,2024-12-31,NATIONAL,3626,18,4,29,true
FORM-MEDI-HUMA-2024-0008,HUMANA MEDICARE_PART_D Standard 4-Tier Formulary 2024,FEHB_BASIC_001,MEDICARE_PART_D,HUMANA,MAGELLAN_RX,STANDARD,4,BASIC,2024-01-01,2024-12-31,NATIONAL,2141,20,15,11,true
FORM-MEDI-CENT-2024-0009,CENTENE MEDICARE_PART_D Standard 4-Tier Formulary 2024,COMM_BRON_001,MEDICARE_PART_D,CENTENE,MEDIMPACT,STANDARD,4,COMPREHENSIVE,2024-01-01,2024-12-31,NATIONAL,3069,11,6,23,true
FORM-MEDI-AETN-2024-0010,AETNA MEDICARE_PART_D Enhanced 3-Tier Formulary 2024,VA_STANDARD_001,MEDICARE_PART_D,AETNA,MAGELLAN_RX,ENHANCED,3,LIMITED,2024-01-01,2024-12-31,NATIONAL,2743,19,12,15,true
